Unit,SIO #,Topic,Short (<=14),Goal shape,Primary focus,Secondary focus,Can-Do (A2),SIO Description,Flashcard Set,CEFR Mode,Linguistic competence (measurable),Collection id,Book section,Lexique sets (books),Chunks & frames (books),Box on page,Phonetics on page,Manuel pp.
Unité 5,SIO-051,Travel and ways of travelling,Travel,drill,vocab,,"I can describe a journey, destination, accommodation and way of travelling using appropriate travel vocabulary.",Lexique: Le voyage · Partir en voyage,5.01,,,,Situation 1 — Décider de partir,Le voyage; Partir en voyage,Collocations (matching): se déplacer dans les paysages du monde entier · être plongé dans l'image · redécouvrir la nature · se retrouver dans des situations impossibles · avoir l'impression d'y être; « cinq expressions avec partir »,,L'enchaînement consonantique,"74–75, 84"
Unité 5,SIO-052,Qualities and faults — adjective position,Qualities,drill,vocab,grammar,"I can describe my own or another traveller's qualities, faults and habits, placing and agreeing common adjectives correctly.",Grammaire: La place des adjectifs | Lexique: Des qualités · Des défauts,5.02,,,,Situation 1 — Décider de partir,Des qualités (8); Des défauts (8),Portrait frames: « De nature spontanée et souriante… » · « Je suis surtout une personne curieuse »,GRAM La place des adjectifs (un curieux mode de vie / une personne curieuse; de nouvelles choses) + WORD-REL Le préfixe — contraires en dés-/in-/im-/mal-/ir-,,"75, 84"
Unité 5,SIO-053,Deciding to leave,Deciding to go,model,production,phrases,"I can discuss different travel options and reach a decision about where, when and how to go.",Objectif 1 (situation task),5.03,,,,Situation 1 — Décider de partir,(task lexis from Situation 1),« Vous êtes quel genre de voyageur ? » · « une destination qui plaît à tout le monde » · discussion-animating questions (On coopère p.75),,,74–75
Unité 5,SIO-054,Justifying a choice — cause,Giving reasons,drill,grammar,production,"I can justify a choice with parce que, grâce à or à cause de, distinguishing a neutral, positive or negative cause.",Objectif 2 — parce que / grâce à / à cause de,5.04,,,,Situation 2 — Justifier un choix,Le tourisme solidaire,parce que + sujet + verbe · à cause de + nom · grâce à + nom; positive / negative / neutral cause,GRAM La cause,Les consonnes [ʃ] et [ʒ],"76–77, 84"
Unité 5,SIO-055,Pronouns en and y,EN / Y,drill,grammar,,"I can use en for a complement introduced by de and y for a place or complement introduced by à, placing the pronoun before its verb.",Grammaire: Les pronoms y et en,5.05,,,,Situation 2 — Justifier un choix,"Se lancer un défi (constituer des équipes, s'affronter, le classement, gagner ≠ perdre)",Ils en sont fiers · L'équipe y a participé · On y va à pied,GRAM Les pronoms en et y | CONJ Se battre,,"77, 84"
Unité 5,SIO-056,"Challenges, fitness and difficulty",Challenges,drill,vocab,phrases,I can describe a physical or personal challenge and explain what I find easy or difficult.,Lexique: Se lancer un défi · La forme physique,5.06,,,,Situation 3 — Exprimer une difficulté,La forme physique (8),HARVESTED (Résumons p.79): Nous devons… · C'est possible… · **Mieux vaut…** · J'alternais…; GLOSSES (Aide à la lecture): on bosse = on travaille · se détendre = se reposer · un athlète = un grand sportif · consacrer du temps à · alterner,,,"78–79, 84"
Unité 5,SIO-057,"Negation — jamais, rien and personne",Ne… jamais,drill,grammar,,"I can express the opposites of toujours, tout and tout le monde with ne… jamais, ne… rien and ne… personne.",Grammaire: La négation (ne… jamais / rien / personne),5.07,,,,Situation 3 — Exprimer une difficulté,(contraires de toujours / tout / tout le monde),Ça ne va jamais changer · Ça ne change rien · Ça ne change personne; « il ne faut jamais… » (Appliquez p.79),GRAM La négation,Intonation : les questions,"79, 84"
Unité 5,SIO-058,Encouraging someone,Encouraging,drill,phrases,production,I can encourage and reassure someone who is hesitating or finding a challenge difficult.,Communication: Encourager quelqu'un,5.08,,,,Atelier 1 — Encourager quelqu'un,,Encourager quelqu'un (Mémo): Allez ! · Vas-y ! · Courage ! · Ne t'inquiète pas ! · Tu peux y arriver ! · N'aie pas peur ! · Aie confiance !,,,"82, 85"
Unité 5,SIO-059,Insisting on an invitation,Insisting,drill,phrases,production,"I can invite someone, respond to hesitation, and insist politely without ending the exchange.",Communication: Insister pour inviter,5.09,,,,Atelier 2 — Insister pour inviter,,Insister pour inviter (Mémo): Je compte sur toi ! · Mais si ! · Je t'assure ! · Tu dois absolument venir. · Ça va être génial / super !,,,"83, 85"
Unité 5,SIO-060,Virtual world-tour project,World tour,brief,production,,"I can work with others to design and present a coherent virtual journey, explaining and defending our choices.",Projet culturel,5.10,,,,Lab' Langue & Culture — Faire un tour du monde virtuel,,(Projet culturel — brief),,,81
