Unit,SIO #,Topic,SIO Description,Flashcard Set,Front side,Back side (flipped),Overview columns,Letris / Notes,CEFR Mode,Can-Do (A1),Linguistic competence (measurable)
Unité 0,SIO-001,Introductions,Introduce oneself (Je m'appelle…) and others; ask for names using tu (Comment tu t'appelles?) and vous (Comment vous vous appelez?); conjugate s'appeler across all persons; use M./Mme as forms of address,0.01,12 cards — English equivalent of the reverse side (+ M./Mme forms of address),"Je m'appelle…
Je m'appelle … aussi.
Nous nous appelons … et …
Et toi ? Comment tu t'appelles ?
Et vous ? Comment vous vous appelez ?
Et lui ? Comment il s'appelle ?
Et elle ? Comment elle s'appelle ?
Et eux ? Comment ils s'appellent ?
Et elles ? Comment elles s'appellent ?
Monsieur … / Madame …
M. … / Mme …
Enchanté(e) !",1: French phrase | 2: English | 3: Rewrite: Moi c'est… | 4: M./Mme forms of address | 5: Notes,No Letris,Spoken Interaction,"I can introduce myself and other people, ask someone their name, and address someone politely with M./Mme.",Conjugate s'appeler in all 6 persons (≥5/6); ask a name with tu and with vous; introduce a third person (Il/Elle s'appelle…); use M./Mme as a form of address.
Unité 0,SIO-002,Tu / Vous,"Distinguish and select tu, vous (singular polite), and vous (plural) across 12 social situations",0.02,"

12 flashcards, at the top: 'tu' ou 'vous' ?

With a much younger person
With a peer or a friend
With a family member
With a partner
Wth a close colleague
----
With a not-so-close colleague
With one""s teacher
With one's boss
With a client
With a stranger
With an elderly
With groups","Either ""Tu"" or ""Vous"" (TTS tu or vous) followed by one of these explanations

Family, friends, partners, close colleagues – Tu signals closeness and equality.

Younger person – Tu is usual with children and many teenagers in informal contexts.

Professional settings – Vous marks respect, hierarchy, and professional distance.

Strangers – Vous is the default polite choice with unknown adults.

Groups – Vous is used for addressing more than one person.","""Column for Situation

With a child
With a peer or a friend
With a family member
With a partner
Wth a close colleague
----
With a not-so-close colleague
With one""""s teacher
With one's boss
With a client
With a stranger
With an elderly
With groups


Column for Tu ou vous

Column for explanation
Column (empty for learner notes)""",12 situations fall → 2 baskets: tu / vous,Spoken Interaction,I can tell which pronoun (tu vs vous) is more appropriate in a particular context.,Select tu / vous (polite sg) / vous (pl) correctly in ≥10/12 situations; give a one-phrase reason for each choice.
Unité 0,SIO-003,Alphabet,Name all 26 letters; group by vowel sound in name (ah: A H K · ay: B C D É G P T V W · air: È F L M N R S Z · i: I J X Y · ü: Q U · oh: O · uh: E); spell aloud: Comment ça s'écrit?,0.03,"This is a complete 26-card deck with consistent formatting: letter on front,
"," French name + English pronunciation guide (IPA) on back.
+ TTS
ah : A H K
ay : B C D É G P T V W
air:: È F L M N R S (Y) Z  
i :     I J  X Y
ü :   Q U
others: O E
","1st column : letter
2nd: IPA
3rd : pronunciation guide (roughly rendered in English)
4th: vowel sounds (-ah. -ay, -ü, -i, -air)
5th: notes",Falling letters → 3 baskets: ay / air / others,Spoken Interaction,"I can say how a name is spelled, or ask how it is spelled.",Name all 26 letters; sort them into the 7 vowel-sound groups; spell a given word aloud (≥90% letters correct).
Unité 0,SIO-004,Days + moments,"Name 7 days and 3 moments of the day (matin, après-midi, soir); ask/answer C'est quand?; weekday vs weekend",0.04,"10 cards:
Monday, Tuesday, ... Sunday, morning, aftermoon, evening",French word (e.g. lundi / matin / après-midi),"1. French
2. English
3. Association with moon, Mars, etc. (add single character kanji here too)
4. notes",3 baskets: weekday / weekend / moments du jour,Spoken Interaction,"I can tell which day of the week and what moment of the day it is, or ask: When is it?",List the 7 days in order and the 3 moments of the day; label a day as weekday/weekend; ask and answer C'est quand ?
Unité 0,SIO-005,Colours,"Name 12 colours; associate each with a mnemonic object (le feu rouge, le flamant rose…)",0.05,12 cards — English colour word rendered in the relevant colour,"""1. French color
2. French Art+N+Adj
3. English
4. Notes

le feu rouge (red traffic light)
le flamant rose (pink flamingo)
le fluo orange (orange highlighter)
le citron jaune (yellow lemon)
le concombre vert (green cucumber) 
le ciel bleu (blue sky)
le raisin violet (purple grape)
le nuage gris (grey cloud)
le chocolat marron (brown chocolate)
le café noir (black coffee)
le lait blanc (white milk)
le sable beige (beige sand)""","1. French color
2. French Art+N+Adj
3. English
4. Notes

le feu rouge (red traffic light)
le flamant rose (pink flamingo)
le fluo orange (orange highlighter)
le citron jaune (yellow lemon)
le concombre vert (green cucumber) 
le ciel bleu (blue sky)
le raisin violet (purple grape)
le nuage gris (grey cloud)
le chocolat marron (brown chocolate)
le café noir (black coffee)
le lait blanc (white milk)
le sable beige (beige sand)","6 baskets: rouge/rose/jaune/vert/noir/blanc
Falling: emojis + mnemonic words — basket labels in plain text, no colour clue",Spoken Production,"I know the word for twelve different colors in French (red, orange, yellow, green, blue, purple, brown, white, black, grey, pink, beige), or ask: How is it? (What color is it?)",Name the 12 colours; give the matching mnemonic object for each (≥10/12).
Unité 0,SIO-006,Some nouns,"Use C'est où ? / C'est qui ? / C'est quoi ? to identify people, places and things; 18 nouns whose meaning is already clear in English, so the new thing to learn is the gender: un homme, une femme, un étudiant, une étudiante, un groupe, une classe, un café, une région, une province, un sport, le football, une activité, la danse, un croissant, un macaron, le champagne, une consonne, une nationalité.",0.06,"~18 cards — English label, all near-cognates
(e.g. 'a croissant' / 'a region' / 'a sport' / 'a nationality')","French noun with its article + TTS
(e.g. un croissant / une région / le football / la danse)",1: French (with article) | 2: English | 3: Article: un / une / le / la | 4: Notes,"4 baskets: un / une / le / la — the meaning is already clear, so the gender is the whole task",Spoken Production,"I can say whether a noun is masculine or feminine, and answer Where is it? Who is it? What is it? with it.",Label the 18 nouns with un/une/le/la (≥15/18); answer C'est où ? / C'est qui ? / C'est quoi ? appropriately for a given item.
Unité 0,SIO-007,Numbers 0–20,"Read and say 0–16; recognise 17,18,19 as composites; say 20; respond to Il y a combien d'étudiants ?",0.07,"17 cards — numeral only
• 10 cards (1–10) · 6 cards (0, 11–16) · 1 card (20)",Spelled-out word (e.g. sept / treize / dix-neuf / vingt),1: Numeral | 2: In words | 3: Feature (single/hyphenated/composite) | 4: Notes,No baskets — falling spelled words; user types the numeral,Spoken Interaction,"I know my French numbers from 0 to 20, or ask how many students there are in the classroom.",Read aloud any number 0–20; identify 17–19 as composites (dix-sept = 10 + 7); say 20; answer Il y a combien d'étudiants ?
Unité 0,SIO-008,Classroom instructions,"Understand and respond to: Écoutez!, Regardez!, Répétez!, Lisez!, Écrivez!, Parlez!, Notez!, Comptez!, Associez!; ask On fait quoi?",0.08,~9 cards — action icon or English gloss (e.g. 👂 Listen! / ✏️ Write!),French imperative (e.g. Écoutez ! / Écrivez !),1: French imperative | 2: English | 3: Gesture/mime note | 4: Notes,Action/mime format recommended,Listening,"I can understand and respond to classroom instructions like Écoutez !, Regardez !, Répétez !, Lisez !, Écrivez !, Parlez !, Notez !, Comptez !, Associez !, or ask what we are doing.",Perform the correct action for the 9 instructions (≥8/9); ask On fait quoi ?
Unité 0,SIO-009,Greetings,"Greet and take leave; distinguish formal, versatile, and casual by time of day and register",0.09,16 cards — English equivalent + context label,"Bonjour ! / Bonsoir ! (fam: Salut ! Coucou !)
Au revoir / À bientôt / À tout à l'heure
À demain / À la prochaine / À lundi…
Bonne journée / Bonne soirée / Bonne nuit
(fam) Salut / À plus / Ciao","1. French phrase
2, English phrase
3. meeting or parting
4. universal or familiar only
5. sensitive to time of the day
6. notes",No Letris,Spoken Interaction,I can greet and say goodbye based on time of day and register (casual or formal).,Produce the register-appropriate greeting/leave-taking for a given time and relationship (≥8/10); sort phrases into meeting vs parting and universal vs familiar.
Unité 0,SIO-010,First meeting role-play,"Simulate a first-time meeting in French with a fellow student (tu), a client (vous) or a group (plural vous), chaining greeting, asking a name, giving one's own, asking how it's spelled and taking leave: Bonjour → Comment tu t'appelles / vous vous appelez ? → Et toi ? / Et vous ? → Comment ça s'écrit ? → Enchanté(e) → Au revoir !",0.10,,,,⛔ Production task — no flashcard,Spoken Interaction,"I can carry a first meeting in French right through, with a fellow student, with a client, or with a group.","Complete every step — greet, ask a name, give one's own name, ask Et toi ? / Et vous ?, ask and answer Comment ça s'écrit ?, say Enchanté(e), take leave — in the register the situation calls for: tu, vous, or the plural vous of a group (≥6/7 steps in each of the 3)."
